size_slug,ollama_ref,size_file
72b,qwen2-math:72b,sizes/72b.json
72b-instruct,qwen2-math:72b-instruct,sizes/72b-instruct.json
72b-instruct-fp16,qwen2-math:72b-instruct-fp16,sizes/72b-instruct-fp16.json
72b-instruct-q2-k,qwen2-math:72b-instruct-q2_K,sizes/72b-instruct-q2-k.json
72b-instruct-q3-k-l,qwen2-math:72b-instruct-q3_K_L,sizes/72b-instruct-q3-k-l.json
72b-instruct-q3-k-m,qwen2-math:72b-instruct-q3_K_M,sizes/72b-instruct-q3-k-m.json
72b-instruct-q3-k-s,qwen2-math:72b-instruct-q3_K_S,sizes/72b-instruct-q3-k-s.json
72b-instruct-q4-k-m,qwen2-math:72b-instruct-q4_K_M,sizes/72b-instruct-q4-k-m.json
72b-instruct-q4-k-s,qwen2-math:72b-instruct-q4_K_S,sizes/72b-instruct-q4-k-s.json
72b-instruct-q40,qwen2-math:72b-instruct-q4_0,sizes/72b-instruct-q40.json
72b-instruct-q41,qwen2-math:72b-instruct-q4_1,sizes/72b-instruct-q41.json
72b-instruct-q5-k-m,qwen2-math:72b-instruct-q5_K_M,sizes/72b-instruct-q5-k-m.json
72b-instruct-q5-k-s,qwen2-math:72b-instruct-q5_K_S,sizes/72b-instruct-q5-k-s.json
72b-instruct-q50,qwen2-math:72b-instruct-q5_0,sizes/72b-instruct-q50.json
72b-instruct-q51,qwen2-math:72b-instruct-q5_1,sizes/72b-instruct-q51.json
72b-instruct-q6-k,qwen2-math:72b-instruct-q6_K,sizes/72b-instruct-q6-k.json
72b-instruct-q80,qwen2-math:72b-instruct-q8_0,sizes/72b-instruct-q80.json
7b,qwen2-math:7b,sizes/7b.json
7b-instruct,qwen2-math:7b-instruct,sizes/7b-instruct.json
7b-instruct-fp16,qwen2-math:7b-instruct-fp16,sizes/7b-instruct-fp16.json
7b-instruct-q2-k,qwen2-math:7b-instruct-q2_K,sizes/7b-instruct-q2-k.json
7b-instruct-q3-k-l,qwen2-math:7b-instruct-q3_K_L,sizes/7b-instruct-q3-k-l.json
7b-instruct-q3-k-m,qwen2-math:7b-instruct-q3_K_M,sizes/7b-instruct-q3-k-m.json
7b-instruct-q3-k-s,qwen2-math:7b-instruct-q3_K_S,sizes/7b-instruct-q3-k-s.json
7b-instruct-q4-k-m,qwen2-math:7b-instruct-q4_K_M,sizes/7b-instruct-q4-k-m.json
7b-instruct-q4-k-s,qwen2-math:7b-instruct-q4_K_S,sizes/7b-instruct-q4-k-s.json
7b-instruct-q40,qwen2-math:7b-instruct-q4_0,sizes/7b-instruct-q40.json
7b-instruct-q41,qwen2-math:7b-instruct-q4_1,sizes/7b-instruct-q41.json
7b-instruct-q5-k-m,qwen2-math:7b-instruct-q5_K_M,sizes/7b-instruct-q5-k-m.json
7b-instruct-q5-k-s,qwen2-math:7b-instruct-q5_K_S,sizes/7b-instruct-q5-k-s.json
7b-instruct-q50,qwen2-math:7b-instruct-q5_0,sizes/7b-instruct-q50.json
7b-instruct-q51,qwen2-math:7b-instruct-q5_1,sizes/7b-instruct-q51.json
7b-instruct-q6-k,qwen2-math:7b-instruct-q6_K,sizes/7b-instruct-q6-k.json
7b-instruct-q80,qwen2-math:7b-instruct-q8_0,sizes/7b-instruct-q80.json
1.5b,qwen2-math:1.5b,sizes/1.5b.json
1.5b-instruct,qwen2-math:1.5b-instruct,sizes/1.5b-instruct.json
1.5b-instruct-fp16,qwen2-math:1.5b-instruct-fp16,sizes/1.5b-instruct-fp16.json
1.5b-instruct-q2-k,qwen2-math:1.5b-instruct-q2_K,sizes/1.5b-instruct-q2-k.json
1.5b-instruct-q3-k-l,qwen2-math:1.5b-instruct-q3_K_L,sizes/1.5b-instruct-q3-k-l.json
1.5b-instruct-q3-k-m,qwen2-math:1.5b-instruct-q3_K_M,sizes/1.5b-instruct-q3-k-m.json
1.5b-instruct-q3-k-s,qwen2-math:1.5b-instruct-q3_K_S,sizes/1.5b-instruct-q3-k-s.json
1.5b-instruct-q4-k-m,qwen2-math:1.5b-instruct-q4_K_M,sizes/1.5b-instruct-q4-k-m.json
1.5b-instruct-q4-k-s,qwen2-math:1.5b-instruct-q4_K_S,sizes/1.5b-instruct-q4-k-s.json
1.5b-instruct-q40,qwen2-math:1.5b-instruct-q4_0,sizes/1.5b-instruct-q40.json
1.5b-instruct-q41,qwen2-math:1.5b-instruct-q4_1,sizes/1.5b-instruct-q41.json
1.5b-instruct-q5-k-m,qwen2-math:1.5b-instruct-q5_K_M,sizes/1.5b-instruct-q5-k-m.json
1.5b-instruct-q5-k-s,qwen2-math:1.5b-instruct-q5_K_S,sizes/1.5b-instruct-q5-k-s.json
1.5b-instruct-q50,qwen2-math:1.5b-instruct-q5_0,sizes/1.5b-instruct-q50.json
1.5b-instruct-q51,qwen2-math:1.5b-instruct-q5_1,sizes/1.5b-instruct-q51.json
1.5b-instruct-q6-k,qwen2-math:1.5b-instruct-q6_K,sizes/1.5b-instruct-q6-k.json
1.5b-instruct-q80,qwen2-math:1.5b-instruct-q8_0,sizes/1.5b-instruct-q80.json
latest,qwen2-math:latest,sizes/latest.json
