size_slug,ollama_ref,size_file,fit_status
16b,deepseek-v2:16b,../sizes/16b.json,not_listed_in_agents_selection
16b-lite-chat-fp16,deepseek-v2:16b-lite-chat-fp16,../sizes/16b-lite-chat-fp16.json,not_listed_in_agents_selection
16b-lite-chat-q2_k,deepseek-v2:16b-lite-chat-q2_K,../sizes/16b-lite-chat-q2_k.json,not_listed_in_agents_selection
16b-lite-chat-q3_k_l,deepseek-v2:16b-lite-chat-q3_K_L,../sizes/16b-lite-chat-q3_k_l.json,not_listed_in_agents_selection
16b-lite-chat-q3_k_m,deepseek-v2:16b-lite-chat-q3_K_M,../sizes/16b-lite-chat-q3_k_m.json,not_listed_in_agents_selection
16b-lite-chat-q3_k_s,deepseek-v2:16b-lite-chat-q3_K_S,../sizes/16b-lite-chat-q3_k_s.json,not_listed_in_agents_selection
16b-lite-chat-q4_0,deepseek-v2:16b-lite-chat-q4_0,../sizes/16b-lite-chat-q4_0.json,not_listed_in_agents_selection
16b-lite-chat-q4_1,deepseek-v2:16b-lite-chat-q4_1,../sizes/16b-lite-chat-q4_1.json,not_listed_in_agents_selection
16b-lite-chat-q4_k_m,deepseek-v2:16b-lite-chat-q4_K_M,../sizes/16b-lite-chat-q4_k_m.json,not_listed_in_agents_selection
16b-lite-chat-q4_k_s,deepseek-v2:16b-lite-chat-q4_K_S,../sizes/16b-lite-chat-q4_k_s.json,not_listed_in_agents_selection
16b-lite-chat-q5_0,deepseek-v2:16b-lite-chat-q5_0,../sizes/16b-lite-chat-q5_0.json,not_listed_in_agents_selection
16b-lite-chat-q5_1,deepseek-v2:16b-lite-chat-q5_1,../sizes/16b-lite-chat-q5_1.json,not_listed_in_agents_selection
16b-lite-chat-q5_k_m,deepseek-v2:16b-lite-chat-q5_K_M,../sizes/16b-lite-chat-q5_k_m.json,not_listed_in_agents_selection
16b-lite-chat-q5_k_s,deepseek-v2:16b-lite-chat-q5_K_S,../sizes/16b-lite-chat-q5_k_s.json,not_listed_in_agents_selection
16b-lite-chat-q6_k,deepseek-v2:16b-lite-chat-q6_K,../sizes/16b-lite-chat-q6_k.json,not_listed_in_agents_selection
16b-lite-chat-q8_0,deepseek-v2:16b-lite-chat-q8_0,../sizes/16b-lite-chat-q8_0.json,not_listed_in_agents_selection
latest,deepseek-v2:latest,../sizes/latest.json,not_listed_in_agents_selection
lite,deepseek-v2:lite,../sizes/lite.json,not_listed_in_agents_selection
