size_slug,ollama_ref,size_file,fit_status
8b-instruct-fp16,llama-pro:8b-instruct-fp16,../sizes/8b-instruct-fp16.json,no_fit
8b-instruct-q2-k,llama-pro:8b-instruct-q2_K,../sizes/8b-instruct-q2-k.json,unknown
8b-instruct-q3-k-l,llama-pro:8b-instruct-q3_K_L,../sizes/8b-instruct-q3-k-l.json,unknown
8b-instruct-q3-k-m,llama-pro:8b-instruct-q3_K_M,../sizes/8b-instruct-q3-k-m.json,unknown
8b-instruct-q3-k-s,llama-pro:8b-instruct-q3_K_S,../sizes/8b-instruct-q3-k-s.json,unknown
8b-instruct-q4-k-m,llama-pro:8b-instruct-q4_K_M,../sizes/8b-instruct-q4-k-m.json,unknown
8b-instruct-q4-k-s,llama-pro:8b-instruct-q4_K_S,../sizes/8b-instruct-q4-k-s.json,unknown
8b-instruct-q40,llama-pro:8b-instruct-q4_0,../sizes/8b-instruct-q40.json,unknown
8b-instruct-q41,llama-pro:8b-instruct-q4_1,../sizes/8b-instruct-q41.json,no_fit
8b-instruct-q5-k-m,llama-pro:8b-instruct-q5_K_M,../sizes/8b-instruct-q5-k-m.json,no_fit
8b-instruct-q5-k-s,llama-pro:8b-instruct-q5_K_S,../sizes/8b-instruct-q5-k-s.json,no_fit
8b-instruct-q50,llama-pro:8b-instruct-q5_0,../sizes/8b-instruct-q50.json,no_fit
8b-instruct-q51,llama-pro:8b-instruct-q5_1,../sizes/8b-instruct-q51.json,no_fit
8b-instruct-q6-k,llama-pro:8b-instruct-q6_K,../sizes/8b-instruct-q6-k.json,no_fit
8b-instruct-q80,llama-pro:8b-instruct-q8_0,../sizes/8b-instruct-q80.json,no_fit
8b-text-fp16,llama-pro:8b-text-fp16,../sizes/8b-text-fp16.json,no_fit
8b-text-q2-k,llama-pro:8b-text-q2_K,../sizes/8b-text-q2-k.json,unknown
8b-text-q3-k-l,llama-pro:8b-text-q3_K_L,../sizes/8b-text-q3-k-l.json,unknown
8b-text-q3-k-m,llama-pro:8b-text-q3_K_M,../sizes/8b-text-q3-k-m.json,unknown
8b-text-q3-k-s,llama-pro:8b-text-q3_K_S,../sizes/8b-text-q3-k-s.json,unknown
8b-text-q4-k-m,llama-pro:8b-text-q4_K_M,../sizes/8b-text-q4-k-m.json,unknown
8b-text-q4-k-s,llama-pro:8b-text-q4_K_S,../sizes/8b-text-q4-k-s.json,unknown
8b-text-q40,llama-pro:8b-text-q4_0,../sizes/8b-text-q40.json,unknown
8b-text-q41,llama-pro:8b-text-q4_1,../sizes/8b-text-q41.json,no_fit
8b-text-q5-k-m,llama-pro:8b-text-q5_K_M,../sizes/8b-text-q5-k-m.json,no_fit
8b-text-q5-k-s,llama-pro:8b-text-q5_K_S,../sizes/8b-text-q5-k-s.json,no_fit
8b-text-q50,llama-pro:8b-text-q5_0,../sizes/8b-text-q50.json,no_fit
8b-text-q51,llama-pro:8b-text-q5_1,../sizes/8b-text-q51.json,no_fit
8b-text-q6-k,llama-pro:8b-text-q6_K,../sizes/8b-text-q6-k.json,no_fit
8b-text-q80,llama-pro:8b-text-q8_0,../sizes/8b-text-q80.json,no_fit
instruct,llama-pro:instruct,../sizes/instruct.json,unknown
latest,llama-pro:latest,../sizes/latest.json,unknown
text,llama-pro:text,../sizes/text.json,unknown
