size_slug,ollama_ref,size_file
70b,llama3-gradient:70b,sizes/70b.json
70b-instruct1048k-fp16,llama3-gradient:70b-instruct-1048k-fp16,sizes/70b-instruct1048k-fp16.json
70b-instruct1048k-q2-k,llama3-gradient:70b-instruct-1048k-q2_K,sizes/70b-instruct1048k-q2-k.json
70b-instruct1048k-q3-k-l,llama3-gradient:70b-instruct-1048k-q3_K_L,sizes/70b-instruct1048k-q3-k-l.json
70b-instruct1048k-q3-k-m,llama3-gradient:70b-instruct-1048k-q3_K_M,sizes/70b-instruct1048k-q3-k-m.json
70b-instruct1048k-q3-k-s,llama3-gradient:70b-instruct-1048k-q3_K_S,sizes/70b-instruct1048k-q3-k-s.json
70b-instruct1048k-q4-k-m,llama3-gradient:70b-instruct-1048k-q4_K_M,sizes/70b-instruct1048k-q4-k-m.json
70b-instruct1048k-q4-k-s,llama3-gradient:70b-instruct-1048k-q4_K_S,sizes/70b-instruct1048k-q4-k-s.json
70b-instruct1048k-q40,llama3-gradient:70b-instruct-1048k-q4_0,sizes/70b-instruct1048k-q40.json
70b-instruct1048k-q41,llama3-gradient:70b-instruct-1048k-q4_1,sizes/70b-instruct1048k-q41.json
70b-instruct1048k-q5-k-m,llama3-gradient:70b-instruct-1048k-q5_K_M,sizes/70b-instruct1048k-q5-k-m.json
70b-instruct1048k-q5-k-s,llama3-gradient:70b-instruct-1048k-q5_K_S,sizes/70b-instruct1048k-q5-k-s.json
70b-instruct1048k-q50,llama3-gradient:70b-instruct-1048k-q5_0,sizes/70b-instruct1048k-q50.json
70b-instruct1048k-q51,llama3-gradient:70b-instruct-1048k-q5_1,sizes/70b-instruct1048k-q51.json
70b-instruct1048k-q6-k,llama3-gradient:70b-instruct-1048k-q6_K,sizes/70b-instruct1048k-q6-k.json
70b-instruct1048k-q80,llama3-gradient:70b-instruct-1048k-q8_0,sizes/70b-instruct1048k-q80.json
8b,llama3-gradient:8b,sizes/8b.json
8b-instruct1048k-fp16,llama3-gradient:8b-instruct-1048k-fp16,sizes/8b-instruct1048k-fp16.json
8b-instruct1048k-q2-k,llama3-gradient:8b-instruct-1048k-q2_K,sizes/8b-instruct1048k-q2-k.json
8b-instruct1048k-q3-k-l,llama3-gradient:8b-instruct-1048k-q3_K_L,sizes/8b-instruct1048k-q3-k-l.json
8b-instruct1048k-q3-k-m,llama3-gradient:8b-instruct-1048k-q3_K_M,sizes/8b-instruct1048k-q3-k-m.json
8b-instruct1048k-q3-k-s,llama3-gradient:8b-instruct-1048k-q3_K_S,sizes/8b-instruct1048k-q3-k-s.json
8b-instruct1048k-q4-k-m,llama3-gradient:8b-instruct-1048k-q4_K_M,sizes/8b-instruct1048k-q4-k-m.json
8b-instruct1048k-q4-k-s,llama3-gradient:8b-instruct-1048k-q4_K_S,sizes/8b-instruct1048k-q4-k-s.json
8b-instruct1048k-q40,llama3-gradient:8b-instruct-1048k-q4_0,sizes/8b-instruct1048k-q40.json
8b-instruct1048k-q41,llama3-gradient:8b-instruct-1048k-q4_1,sizes/8b-instruct1048k-q41.json
8b-instruct1048k-q5-k-m,llama3-gradient:8b-instruct-1048k-q5_K_M,sizes/8b-instruct1048k-q5-k-m.json
8b-instruct1048k-q5-k-s,llama3-gradient:8b-instruct-1048k-q5_K_S,sizes/8b-instruct1048k-q5-k-s.json
8b-instruct1048k-q50,llama3-gradient:8b-instruct-1048k-q5_0,sizes/8b-instruct1048k-q50.json
8b-instruct1048k-q51,llama3-gradient:8b-instruct-1048k-q5_1,sizes/8b-instruct1048k-q51.json
8b-instruct1048k-q6-k,llama3-gradient:8b-instruct-1048k-q6_K,sizes/8b-instruct1048k-q6-k.json
8b-instruct1048k-q80,llama3-gradient:8b-instruct-1048k-q8_0,sizes/8b-instruct1048k-q80.json
1048k,llama3-gradient:1048k,sizes/1048k.json
instruct,llama3-gradient:instruct,sizes/instruct.json
latest,llama3-gradient:latest,sizes/latest.json
