size_slug,ollama_ref,size_file,fit_status
1b,llama3.2:1b,../sizes/1b.json,listed_in_agents_selection
1b-instruct-fp16,llama3.2:1b-instruct-fp16,../sizes/1b-instruct-fp16.json,not_listed_in_agents_selection
1b-instruct-q2_k,llama3.2:1b-instruct-q2_K,../sizes/1b-instruct-q2_k.json,not_listed_in_agents_selection
1b-instruct-q3_k_l,llama3.2:1b-instruct-q3_K_L,../sizes/1b-instruct-q3_k_l.json,not_listed_in_agents_selection
1b-instruct-q3_k_m,llama3.2:1b-instruct-q3_K_M,../sizes/1b-instruct-q3_k_m.json,not_listed_in_agents_selection
1b-instruct-q3_k_s,llama3.2:1b-instruct-q3_K_S,../sizes/1b-instruct-q3_k_s.json,not_listed_in_agents_selection
1b-instruct-q4_0,llama3.2:1b-instruct-q4_0,../sizes/1b-instruct-q4_0.json,not_listed_in_agents_selection
1b-instruct-q4_1,llama3.2:1b-instruct-q4_1,../sizes/1b-instruct-q4_1.json,not_listed_in_agents_selection
1b-instruct-q4_k_m,llama3.2:1b-instruct-q4_K_M,../sizes/1b-instruct-q4_k_m.json,not_listed_in_agents_selection
1b-instruct-q4_k_s,llama3.2:1b-instruct-q4_K_S,../sizes/1b-instruct-q4_k_s.json,not_listed_in_agents_selection
1b-instruct-q5_0,llama3.2:1b-instruct-q5_0,../sizes/1b-instruct-q5_0.json,not_listed_in_agents_selection
1b-instruct-q5_1,llama3.2:1b-instruct-q5_1,../sizes/1b-instruct-q5_1.json,not_listed_in_agents_selection
1b-instruct-q5_k_m,llama3.2:1b-instruct-q5_K_M,../sizes/1b-instruct-q5_k_m.json,not_listed_in_agents_selection
1b-instruct-q5_k_s,llama3.2:1b-instruct-q5_K_S,../sizes/1b-instruct-q5_k_s.json,not_listed_in_agents_selection
1b-instruct-q6_k,llama3.2:1b-instruct-q6_K,../sizes/1b-instruct-q6_k.json,not_listed_in_agents_selection
1b-instruct-q8_0,llama3.2:1b-instruct-q8_0,../sizes/1b-instruct-q8_0.json,not_listed_in_agents_selection
1b-text-fp16,llama3.2:1b-text-fp16,../sizes/1b-text-fp16.json,not_listed_in_agents_selection
1b-text-q2_k,llama3.2:1b-text-q2_K,../sizes/1b-text-q2_k.json,not_listed_in_agents_selection
1b-text-q3_k_l,llama3.2:1b-text-q3_K_L,../sizes/1b-text-q3_k_l.json,not_listed_in_agents_selection
1b-text-q3_k_m,llama3.2:1b-text-q3_K_M,../sizes/1b-text-q3_k_m.json,not_listed_in_agents_selection
1b-text-q3_k_s,llama3.2:1b-text-q3_K_S,../sizes/1b-text-q3_k_s.json,not_listed_in_agents_selection
1b-text-q4_0,llama3.2:1b-text-q4_0,../sizes/1b-text-q4_0.json,not_listed_in_agents_selection
1b-text-q4_1,llama3.2:1b-text-q4_1,../sizes/1b-text-q4_1.json,not_listed_in_agents_selection
1b-text-q4_k_m,llama3.2:1b-text-q4_K_M,../sizes/1b-text-q4_k_m.json,not_listed_in_agents_selection
1b-text-q4_k_s,llama3.2:1b-text-q4_K_S,../sizes/1b-text-q4_k_s.json,not_listed_in_agents_selection
1b-text-q5_0,llama3.2:1b-text-q5_0,../sizes/1b-text-q5_0.json,not_listed_in_agents_selection
1b-text-q5_1,llama3.2:1b-text-q5_1,../sizes/1b-text-q5_1.json,not_listed_in_agents_selection
1b-text-q5_k_m,llama3.2:1b-text-q5_K_M,../sizes/1b-text-q5_k_m.json,not_listed_in_agents_selection
1b-text-q5_k_s,llama3.2:1b-text-q5_K_S,../sizes/1b-text-q5_k_s.json,not_listed_in_agents_selection
1b-text-q6_k,llama3.2:1b-text-q6_K,../sizes/1b-text-q6_k.json,not_listed_in_agents_selection
1b-text-q8_0,llama3.2:1b-text-q8_0,../sizes/1b-text-q8_0.json,not_listed_in_agents_selection
