size_slug,ollama_ref,size_file
236b,deepseek-v2:236b,sizes/236b.json
236b-chat-fp16,deepseek-v2:236b-chat-fp16,sizes/236b-chat-fp16.json
236b-chat-q2_k,deepseek-v2:236b-chat-q2_K,sizes/236b-chat-q2_k.json
236b-chat-q3_k_l,deepseek-v2:236b-chat-q3_K_L,sizes/236b-chat-q3_k_l.json
236b-chat-q3_k_m,deepseek-v2:236b-chat-q3_K_M,sizes/236b-chat-q3_k_m.json
236b-chat-q3_k_s,deepseek-v2:236b-chat-q3_K_S,sizes/236b-chat-q3_k_s.json
236b-chat-q4_0,deepseek-v2:236b-chat-q4_0,sizes/236b-chat-q4_0.json
236b-chat-q4_1,deepseek-v2:236b-chat-q4_1,sizes/236b-chat-q4_1.json
236b-chat-q4_k_m,deepseek-v2:236b-chat-q4_K_M,sizes/236b-chat-q4_k_m.json
236b-chat-q4_k_s,deepseek-v2:236b-chat-q4_K_S,sizes/236b-chat-q4_k_s.json
236b-chat-q5_0,deepseek-v2:236b-chat-q5_0,sizes/236b-chat-q5_0.json
236b-chat-q5_1,deepseek-v2:236b-chat-q5_1,sizes/236b-chat-q5_1.json
236b-chat-q5_k_m,deepseek-v2:236b-chat-q5_K_M,sizes/236b-chat-q5_k_m.json
236b-chat-q5_k_s,deepseek-v2:236b-chat-q5_K_S,sizes/236b-chat-q5_k_s.json
236b-chat-q6_k,deepseek-v2:236b-chat-q6_K,sizes/236b-chat-q6_k.json
236b-chat-q8_0,deepseek-v2:236b-chat-q8_0,sizes/236b-chat-q8_0.json
