size_slug,ollama_ref,size_file
8x7b,notux:8x7b,sizes/8x7b.json
8x7b-v1,notux:8x7b-v1,sizes/8x7b-v1.json
8x7b-v1-fp16,notux:8x7b-v1-fp16,sizes/8x7b-v1-fp16.json
8x7b-v1-q2-k,notux:8x7b-v1-q2_K,sizes/8x7b-v1-q2-k.json
8x7b-v1-q3-k-l,notux:8x7b-v1-q3_K_L,sizes/8x7b-v1-q3-k-l.json
8x7b-v1-q3-k-m,notux:8x7b-v1-q3_K_M,sizes/8x7b-v1-q3-k-m.json
8x7b-v1-q3-k-s,notux:8x7b-v1-q3_K_S,sizes/8x7b-v1-q3-k-s.json
8x7b-v1-q4-k-m,notux:8x7b-v1-q4_K_M,sizes/8x7b-v1-q4-k-m.json
8x7b-v1-q4-k-s,notux:8x7b-v1-q4_K_S,sizes/8x7b-v1-q4-k-s.json
8x7b-v1-q40,notux:8x7b-v1-q4_0,sizes/8x7b-v1-q40.json
8x7b-v1-q41,notux:8x7b-v1-q4_1,sizes/8x7b-v1-q41.json
8x7b-v1-q5-k-m,notux:8x7b-v1-q5_K_M,sizes/8x7b-v1-q5-k-m.json
8x7b-v1-q5-k-s,notux:8x7b-v1-q5_K_S,sizes/8x7b-v1-q5-k-s.json
8x7b-v1-q50,notux:8x7b-v1-q5_0,sizes/8x7b-v1-q50.json
8x7b-v1-q51,notux:8x7b-v1-q5_1,sizes/8x7b-v1-q51.json
8x7b-v1-q6-k,notux:8x7b-v1-q6_K,sizes/8x7b-v1-q6-k.json
8x7b-v1-q80,notux:8x7b-v1-q8_0,sizes/8x7b-v1-q80.json
latest,notux:latest,sizes/latest.json
