size_slug,ollama_ref,size_file,fit_status
123b,mistral-large:123b,../sizes/123b.json,not_listed_in_agents_selection
123b-instruct-2407-fp16,mistral-large:123b-instruct-2407-fp16,../sizes/123b-instruct-2407-fp16.json,not_listed_in_agents_selection
123b-instruct-2407-q2_k,mistral-large:123b-instruct-2407-q2_K,../sizes/123b-instruct-2407-q2_k.json,not_listed_in_agents_selection
123b-instruct-2407-q3_k_l,mistral-large:123b-instruct-2407-q3_K_L,../sizes/123b-instruct-2407-q3_k_l.json,not_listed_in_agents_selection
123b-instruct-2407-q3_k_m,mistral-large:123b-instruct-2407-q3_K_M,../sizes/123b-instruct-2407-q3_k_m.json,not_listed_in_agents_selection
123b-instruct-2407-q3_k_s,mistral-large:123b-instruct-2407-q3_K_S,../sizes/123b-instruct-2407-q3_k_s.json,not_listed_in_agents_selection
123b-instruct-2407-q4_0,mistral-large:123b-instruct-2407-q4_0,../sizes/123b-instruct-2407-q4_0.json,not_listed_in_agents_selection
123b-instruct-2407-q4_1,mistral-large:123b-instruct-2407-q4_1,../sizes/123b-instruct-2407-q4_1.json,not_listed_in_agents_selection
123b-instruct-2407-q4_k_m,mistral-large:123b-instruct-2407-q4_K_M,../sizes/123b-instruct-2407-q4_k_m.json,not_listed_in_agents_selection
123b-instruct-2407-q4_k_s,mistral-large:123b-instruct-2407-q4_K_S,../sizes/123b-instruct-2407-q4_k_s.json,not_listed_in_agents_selection
123b-instruct-2407-q5_0,mistral-large:123b-instruct-2407-q5_0,../sizes/123b-instruct-2407-q5_0.json,not_listed_in_agents_selection
123b-instruct-2407-q5_1,mistral-large:123b-instruct-2407-q5_1,../sizes/123b-instruct-2407-q5_1.json,not_listed_in_agents_selection
123b-instruct-2407-q5_k_m,mistral-large:123b-instruct-2407-q5_K_M,../sizes/123b-instruct-2407-q5_k_m.json,not_listed_in_agents_selection
123b-instruct-2407-q5_k_s,mistral-large:123b-instruct-2407-q5_K_S,../sizes/123b-instruct-2407-q5_k_s.json,not_listed_in_agents_selection
123b-instruct-2407-q6_k,mistral-large:123b-instruct-2407-q6_K,../sizes/123b-instruct-2407-q6_k.json,not_listed_in_agents_selection
123b-instruct-2407-q8_0,mistral-large:123b-instruct-2407-q8_0,../sizes/123b-instruct-2407-q8_0.json,not_listed_in_agents_selection
123b-instruct-2411-fp16,mistral-large:123b-instruct-2411-fp16,../sizes/123b-instruct-2411-fp16.json,not_listed_in_agents_selection
123b-instruct-2411-q2_k,mistral-large:123b-instruct-2411-q2_K,../sizes/123b-instruct-2411-q2_k.json,not_listed_in_agents_selection
123b-instruct-2411-q3_k_l,mistral-large:123b-instruct-2411-q3_K_L,../sizes/123b-instruct-2411-q3_k_l.json,not_listed_in_agents_selection
123b-instruct-2411-q3_k_m,mistral-large:123b-instruct-2411-q3_K_M,../sizes/123b-instruct-2411-q3_k_m.json,not_listed_in_agents_selection
123b-instruct-2411-q3_k_s,mistral-large:123b-instruct-2411-q3_K_S,../sizes/123b-instruct-2411-q3_k_s.json,not_listed_in_agents_selection
123b-instruct-2411-q4_0,mistral-large:123b-instruct-2411-q4_0,../sizes/123b-instruct-2411-q4_0.json,not_listed_in_agents_selection
123b-instruct-2411-q4_1,mistral-large:123b-instruct-2411-q4_1,../sizes/123b-instruct-2411-q4_1.json,not_listed_in_agents_selection
123b-instruct-2411-q4_k_m,mistral-large:123b-instruct-2411-q4_K_M,../sizes/123b-instruct-2411-q4_k_m.json,not_listed_in_agents_selection
123b-instruct-2411-q4_k_s,mistral-large:123b-instruct-2411-q4_K_S,../sizes/123b-instruct-2411-q4_k_s.json,not_listed_in_agents_selection
123b-instruct-2411-q5_0,mistral-large:123b-instruct-2411-q5_0,../sizes/123b-instruct-2411-q5_0.json,not_listed_in_agents_selection
123b-instruct-2411-q5_1,mistral-large:123b-instruct-2411-q5_1,../sizes/123b-instruct-2411-q5_1.json,not_listed_in_agents_selection
123b-instruct-2411-q5_k_m,mistral-large:123b-instruct-2411-q5_K_M,../sizes/123b-instruct-2411-q5_k_m.json,not_listed_in_agents_selection
123b-instruct-2411-q5_k_s,mistral-large:123b-instruct-2411-q5_K_S,../sizes/123b-instruct-2411-q5_k_s.json,not_listed_in_agents_selection
123b-instruct-2411-q6_k,mistral-large:123b-instruct-2411-q6_K,../sizes/123b-instruct-2411-q6_k.json,not_listed_in_agents_selection
123b-instruct-2411-q8_0,mistral-large:123b-instruct-2411-q8_0,../sizes/123b-instruct-2411-q8_0.json,not_listed_in_agents_selection
latest,mistral-large:latest,../sizes/latest.json,not_listed_in_agents_selection
