size_slug,ollama_ref,size_file
7b,wizard-vicuna-uncensored:7b,sizes/7b.json
7b-fp16,wizard-vicuna-uncensored:7b-fp16,sizes/7b-fp16.json
7b-q2_k,wizard-vicuna-uncensored:7b-q2_K,sizes/7b-q2_k.json
7b-q3_k_l,wizard-vicuna-uncensored:7b-q3_K_L,sizes/7b-q3_k_l.json
7b-q3_k_m,wizard-vicuna-uncensored:7b-q3_K_M,sizes/7b-q3_k_m.json
7b-q3_k_s,wizard-vicuna-uncensored:7b-q3_K_S,sizes/7b-q3_k_s.json
7b-q4_0,wizard-vicuna-uncensored:7b-q4_0,sizes/7b-q4_0.json
7b-q4_1,wizard-vicuna-uncensored:7b-q4_1,sizes/7b-q4_1.json
7b-q4_k_m,wizard-vicuna-uncensored:7b-q4_K_M,sizes/7b-q4_k_m.json
7b-q4_k_s,wizard-vicuna-uncensored:7b-q4_K_S,sizes/7b-q4_k_s.json
7b-q5_0,wizard-vicuna-uncensored:7b-q5_0,sizes/7b-q5_0.json
7b-q5_1,wizard-vicuna-uncensored:7b-q5_1,sizes/7b-q5_1.json
7b-q5_k_m,wizard-vicuna-uncensored:7b-q5_K_M,sizes/7b-q5_k_m.json
7b-q5_k_s,wizard-vicuna-uncensored:7b-q5_K_S,sizes/7b-q5_k_s.json
7b-q6_k,wizard-vicuna-uncensored:7b-q6_K,sizes/7b-q6_k.json
7b-q8_0,wizard-vicuna-uncensored:7b-q8_0,sizes/7b-q8_0.json
latest,wizard-vicuna-uncensored:latest,sizes/latest.json
