size_slug,ollama_ref,size_file,fit_status
70b,llama3-chatqa:70b,../sizes/70b.json,no_fit
70b-v1.5,llama3-chatqa:70b-v1.5,../sizes/70b-v1.5.json,no_fit
70b-v1.5-fp16,llama3-chatqa:70b-v1.5-fp16,../sizes/70b-v1.5-fp16.json,no_fit
70b-v1.5-q2-k,llama3-chatqa:70b-v1.5-q2_K,../sizes/70b-v1.5-q2-k.json,no_fit
70b-v1.5-q3-k-l,llama3-chatqa:70b-v1.5-q3_K_L,../sizes/70b-v1.5-q3-k-l.json,no_fit
70b-v1.5-q3-k-m,llama3-chatqa:70b-v1.5-q3_K_M,../sizes/70b-v1.5-q3-k-m.json,no_fit
70b-v1.5-q3-k-s,llama3-chatqa:70b-v1.5-q3_K_S,../sizes/70b-v1.5-q3-k-s.json,no_fit
70b-v1.5-q4-k-m,llama3-chatqa:70b-v1.5-q4_K_M,../sizes/70b-v1.5-q4-k-m.json,no_fit
70b-v1.5-q4-k-s,llama3-chatqa:70b-v1.5-q4_K_S,../sizes/70b-v1.5-q4-k-s.json,no_fit
70b-v1.5-q40,llama3-chatqa:70b-v1.5-q4_0,../sizes/70b-v1.5-q40.json,no_fit
70b-v1.5-q41,llama3-chatqa:70b-v1.5-q4_1,../sizes/70b-v1.5-q41.json,no_fit
70b-v1.5-q5-k-m,llama3-chatqa:70b-v1.5-q5_K_M,../sizes/70b-v1.5-q5-k-m.json,no_fit
70b-v1.5-q5-k-s,llama3-chatqa:70b-v1.5-q5_K_S,../sizes/70b-v1.5-q5-k-s.json,no_fit
70b-v1.5-q50,llama3-chatqa:70b-v1.5-q5_0,../sizes/70b-v1.5-q50.json,no_fit
70b-v1.5-q51,llama3-chatqa:70b-v1.5-q5_1,../sizes/70b-v1.5-q51.json,no_fit
70b-v1.5-q6-k,llama3-chatqa:70b-v1.5-q6_K,../sizes/70b-v1.5-q6-k.json,no_fit
70b-v1.5-q80,llama3-chatqa:70b-v1.5-q8_0,../sizes/70b-v1.5-q80.json,no_fit
8b,llama3-chatqa:8b,../sizes/8b.json,unknown
8b-v1.5,llama3-chatqa:8b-v1.5,../sizes/8b-v1.5.json,unknown
8b-v1.5-fp16,llama3-chatqa:8b-v1.5-fp16,../sizes/8b-v1.5-fp16.json,no_fit
8b-v1.5-q2-k,llama3-chatqa:8b-v1.5-q2_K,../sizes/8b-v1.5-q2-k.json,unknown
8b-v1.5-q3-k-l,llama3-chatqa:8b-v1.5-q3_K_L,../sizes/8b-v1.5-q3-k-l.json,unknown
8b-v1.5-q3-k-m,llama3-chatqa:8b-v1.5-q3_K_M,../sizes/8b-v1.5-q3-k-m.json,unknown
8b-v1.5-q3-k-s,llama3-chatqa:8b-v1.5-q3_K_S,../sizes/8b-v1.5-q3-k-s.json,unknown
8b-v1.5-q4-k-m,llama3-chatqa:8b-v1.5-q4_K_M,../sizes/8b-v1.5-q4-k-m.json,unknown
8b-v1.5-q4-k-s,llama3-chatqa:8b-v1.5-q4_K_S,../sizes/8b-v1.5-q4-k-s.json,unknown
8b-v1.5-q40,llama3-chatqa:8b-v1.5-q4_0,../sizes/8b-v1.5-q40.json,unknown
8b-v1.5-q41,llama3-chatqa:8b-v1.5-q4_1,../sizes/8b-v1.5-q41.json,unknown
8b-v1.5-q5-k-m,llama3-chatqa:8b-v1.5-q5_K_M,../sizes/8b-v1.5-q5-k-m.json,unknown
8b-v1.5-q5-k-s,llama3-chatqa:8b-v1.5-q5_K_S,../sizes/8b-v1.5-q5-k-s.json,unknown
8b-v1.5-q50,llama3-chatqa:8b-v1.5-q5_0,../sizes/8b-v1.5-q50.json,unknown
8b-v1.5-q51,llama3-chatqa:8b-v1.5-q5_1,../sizes/8b-v1.5-q51.json,unknown
8b-v1.5-q6-k,llama3-chatqa:8b-v1.5-q6_K,../sizes/8b-v1.5-q6-k.json,unknown
8b-v1.5-q80,llama3-chatqa:8b-v1.5-q8_0,../sizes/8b-v1.5-q80.json,unknown
latest,llama3-chatqa:latest,../sizes/latest.json,unknown
