size_slug,ollama_ref,size_file,fit_status
70b,dolphin-llama3:70b,../sizes/70b.json,not_listed_in_agents_selection
70b-v2-9,dolphin-llama3:70b-v2.9,../sizes/70b-v2-9.json,not_listed_in_agents_selection
70b-v2-9-fp16,dolphin-llama3:70b-v2.9-fp16,../sizes/70b-v2-9-fp16.json,not_listed_in_agents_selection
70b-v2-9-q2_k,dolphin-llama3:70b-v2.9-q2_K,../sizes/70b-v2-9-q2_k.json,not_listed_in_agents_selection
70b-v2-9-q3_k_l,dolphin-llama3:70b-v2.9-q3_K_L,../sizes/70b-v2-9-q3_k_l.json,not_listed_in_agents_selection
70b-v2-9-q3_k_m,dolphin-llama3:70b-v2.9-q3_K_M,../sizes/70b-v2-9-q3_k_m.json,not_listed_in_agents_selection
70b-v2-9-q3_k_s,dolphin-llama3:70b-v2.9-q3_K_S,../sizes/70b-v2-9-q3_k_s.json,not_listed_in_agents_selection
70b-v2-9-q4_0,dolphin-llama3:70b-v2.9-q4_0,../sizes/70b-v2-9-q4_0.json,not_listed_in_agents_selection
70b-v2-9-q4_1,dolphin-llama3:70b-v2.9-q4_1,../sizes/70b-v2-9-q4_1.json,not_listed_in_agents_selection
70b-v2-9-q4_k_m,dolphin-llama3:70b-v2.9-q4_K_M,../sizes/70b-v2-9-q4_k_m.json,not_listed_in_agents_selection
70b-v2-9-q4_k_s,dolphin-llama3:70b-v2.9-q4_K_S,../sizes/70b-v2-9-q4_k_s.json,not_listed_in_agents_selection
70b-v2-9-q5_0,dolphin-llama3:70b-v2.9-q5_0,../sizes/70b-v2-9-q5_0.json,not_listed_in_agents_selection
70b-v2-9-q5_1,dolphin-llama3:70b-v2.9-q5_1,../sizes/70b-v2-9-q5_1.json,not_listed_in_agents_selection
70b-v2-9-q5_k_m,dolphin-llama3:70b-v2.9-q5_K_M,../sizes/70b-v2-9-q5_k_m.json,not_listed_in_agents_selection
70b-v2-9-q5_k_s,dolphin-llama3:70b-v2.9-q5_K_S,../sizes/70b-v2-9-q5_k_s.json,not_listed_in_agents_selection
70b-v2-9-q6_k,dolphin-llama3:70b-v2.9-q6_K,../sizes/70b-v2-9-q6_k.json,not_listed_in_agents_selection
70b-v2-9-q8_0,dolphin-llama3:70b-v2.9-q8_0,../sizes/70b-v2-9-q8_0.json,not_listed_in_agents_selection
