size_slug,ollama_ref,size_file
8x22b,dolphin-mixtral:8x22b,sizes/8x22b.json
8x22b-v2-9,dolphin-mixtral:8x22b-v2.9,sizes/8x22b-v2-9.json
8x22b-v2-9-fp16,dolphin-mixtral:8x22b-v2.9-fp16,sizes/8x22b-v2-9-fp16.json
8x22b-v2-9-q2_k,dolphin-mixtral:8x22b-v2.9-q2_K,sizes/8x22b-v2-9-q2_k.json
8x22b-v2-9-q3_k_l,dolphin-mixtral:8x22b-v2.9-q3_K_L,sizes/8x22b-v2-9-q3_k_l.json
8x22b-v2-9-q3_k_m,dolphin-mixtral:8x22b-v2.9-q3_K_M,sizes/8x22b-v2-9-q3_k_m.json
8x22b-v2-9-q3_k_s,dolphin-mixtral:8x22b-v2.9-q3_K_S,sizes/8x22b-v2-9-q3_k_s.json
8x22b-v2-9-q4_0,dolphin-mixtral:8x22b-v2.9-q4_0,sizes/8x22b-v2-9-q4_0.json
8x22b-v2-9-q4_1,dolphin-mixtral:8x22b-v2.9-q4_1,sizes/8x22b-v2-9-q4_1.json
8x22b-v2-9-q4_k_m,dolphin-mixtral:8x22b-v2.9-q4_K_M,sizes/8x22b-v2-9-q4_k_m.json
8x22b-v2-9-q4_k_s,dolphin-mixtral:8x22b-v2.9-q4_K_S,sizes/8x22b-v2-9-q4_k_s.json
8x22b-v2-9-q5_0,dolphin-mixtral:8x22b-v2.9-q5_0,sizes/8x22b-v2-9-q5_0.json
8x22b-v2-9-q5_1,dolphin-mixtral:8x22b-v2.9-q5_1,sizes/8x22b-v2-9-q5_1.json
8x22b-v2-9-q5_k_m,dolphin-mixtral:8x22b-v2.9-q5_K_M,sizes/8x22b-v2-9-q5_k_m.json
8x22b-v2-9-q5_k_s,dolphin-mixtral:8x22b-v2.9-q5_K_S,sizes/8x22b-v2-9-q5_k_s.json
8x22b-v2-9-q6_k,dolphin-mixtral:8x22b-v2.9-q6_K,sizes/8x22b-v2-9-q6_k.json
8x22b-v2-9-q8_0,dolphin-mixtral:8x22b-v2.9-q8_0,sizes/8x22b-v2-9-q8_0.json
8x7b,dolphin-mixtral:8x7b,sizes/8x7b.json
8x7b-v2-5,dolphin-mixtral:8x7b-v2.5,sizes/8x7b-v2-5.json
8x7b-v2-5-fp16,dolphin-mixtral:8x7b-v2.5-fp16,sizes/8x7b-v2-5-fp16.json
8x7b-v2-5-q2_k,dolphin-mixtral:8x7b-v2.5-q2_K,sizes/8x7b-v2-5-q2_k.json
8x7b-v2-5-q3_k_l,dolphin-mixtral:8x7b-v2.5-q3_K_L,sizes/8x7b-v2-5-q3_k_l.json
8x7b-v2-5-q3_k_m,dolphin-mixtral:8x7b-v2.5-q3_K_M,sizes/8x7b-v2-5-q3_k_m.json
8x7b-v2-5-q3_k_s,dolphin-mixtral:8x7b-v2.5-q3_K_S,sizes/8x7b-v2-5-q3_k_s.json
8x7b-v2-5-q4_0,dolphin-mixtral:8x7b-v2.5-q4_0,sizes/8x7b-v2-5-q4_0.json
8x7b-v2-5-q4_1,dolphin-mixtral:8x7b-v2.5-q4_1,sizes/8x7b-v2-5-q4_1.json
8x7b-v2-5-q4_k_m,dolphin-mixtral:8x7b-v2.5-q4_K_M,sizes/8x7b-v2-5-q4_k_m.json
8x7b-v2-5-q4_k_s,dolphin-mixtral:8x7b-v2.5-q4_K_S,sizes/8x7b-v2-5-q4_k_s.json
8x7b-v2-5-q5_0,dolphin-mixtral:8x7b-v2.5-q5_0,sizes/8x7b-v2-5-q5_0.json
8x7b-v2-5-q5_1,dolphin-mixtral:8x7b-v2.5-q5_1,sizes/8x7b-v2-5-q5_1.json
8x7b-v2-5-q5_k_m,dolphin-mixtral:8x7b-v2.5-q5_K_M,sizes/8x7b-v2-5-q5_k_m.json
8x7b-v2-5-q5_k_s,dolphin-mixtral:8x7b-v2.5-q5_K_S,sizes/8x7b-v2-5-q5_k_s.json
8x7b-v2-5-q6_k,dolphin-mixtral:8x7b-v2.5-q6_K,sizes/8x7b-v2-5-q6_k.json
8x7b-v2-5-q8_0,dolphin-mixtral:8x7b-v2.5-q8_0,sizes/8x7b-v2-5-q8_0.json
8x7b-v2-6,dolphin-mixtral:8x7b-v2.6,sizes/8x7b-v2-6.json
8x7b-v2-6-fp16,dolphin-mixtral:8x7b-v2.6-fp16,sizes/8x7b-v2-6-fp16.json
8x7b-v2-6-q2_k,dolphin-mixtral:8x7b-v2.6-q2_K,sizes/8x7b-v2-6-q2_k.json
8x7b-v2-6-q3_k_l,dolphin-mixtral:8x7b-v2.6-q3_K_L,sizes/8x7b-v2-6-q3_k_l.json
8x7b-v2-6-q3_k_m,dolphin-mixtral:8x7b-v2.6-q3_K_M,sizes/8x7b-v2-6-q3_k_m.json
8x7b-v2-6-q3_k_s,dolphin-mixtral:8x7b-v2.6-q3_K_S,sizes/8x7b-v2-6-q3_k_s.json
8x7b-v2-6-q4_0,dolphin-mixtral:8x7b-v2.6-q4_0,sizes/8x7b-v2-6-q4_0.json
8x7b-v2-6-q4_1,dolphin-mixtral:8x7b-v2.6-q4_1,sizes/8x7b-v2-6-q4_1.json
8x7b-v2-6-q4_k_m,dolphin-mixtral:8x7b-v2.6-q4_K_M,sizes/8x7b-v2-6-q4_k_m.json
8x7b-v2-6-q4_k_s,dolphin-mixtral:8x7b-v2.6-q4_K_S,sizes/8x7b-v2-6-q4_k_s.json
8x7b-v2-6-q5_0,dolphin-mixtral:8x7b-v2.6-q5_0,sizes/8x7b-v2-6-q5_0.json
8x7b-v2-6-q5_1,dolphin-mixtral:8x7b-v2.6-q5_1,sizes/8x7b-v2-6-q5_1.json
8x7b-v2-6-q5_k_m,dolphin-mixtral:8x7b-v2.6-q5_K_M,sizes/8x7b-v2-6-q5_k_m.json
8x7b-v2-6-q5_k_s,dolphin-mixtral:8x7b-v2.6-q5_K_S,sizes/8x7b-v2-6-q5_k_s.json
8x7b-v2-6-q6_k,dolphin-mixtral:8x7b-v2.6-q6_K,sizes/8x7b-v2-6-q6_k.json
8x7b-v2-6-q8_0,dolphin-mixtral:8x7b-v2.6-q8_0,sizes/8x7b-v2-6-q8_0.json
8x7b-v2-7,dolphin-mixtral:8x7b-v2.7,sizes/8x7b-v2-7.json
8x7b-v2-7-fp16,dolphin-mixtral:8x7b-v2.7-fp16,sizes/8x7b-v2-7-fp16.json
8x7b-v2-7-q2_k,dolphin-mixtral:8x7b-v2.7-q2_K,sizes/8x7b-v2-7-q2_k.json
8x7b-v2-7-q3_k_l,dolphin-mixtral:8x7b-v2.7-q3_K_L,sizes/8x7b-v2-7-q3_k_l.json
8x7b-v2-7-q3_k_m,dolphin-mixtral:8x7b-v2.7-q3_K_M,sizes/8x7b-v2-7-q3_k_m.json
8x7b-v2-7-q3_k_s,dolphin-mixtral:8x7b-v2.7-q3_K_S,sizes/8x7b-v2-7-q3_k_s.json
8x7b-v2-7-q4_0,dolphin-mixtral:8x7b-v2.7-q4_0,sizes/8x7b-v2-7-q4_0.json
8x7b-v2-7-q4_1,dolphin-mixtral:8x7b-v2.7-q4_1,sizes/8x7b-v2-7-q4_1.json
8x7b-v2-7-q4_k_m,dolphin-mixtral:8x7b-v2.7-q4_K_M,sizes/8x7b-v2-7-q4_k_m.json
8x7b-v2-7-q4_k_s,dolphin-mixtral:8x7b-v2.7-q4_K_S,sizes/8x7b-v2-7-q4_k_s.json
8x7b-v2-7-q5_0,dolphin-mixtral:8x7b-v2.7-q5_0,sizes/8x7b-v2-7-q5_0.json
8x7b-v2-7-q5_1,dolphin-mixtral:8x7b-v2.7-q5_1,sizes/8x7b-v2-7-q5_1.json
8x7b-v2-7-q5_k_m,dolphin-mixtral:8x7b-v2.7-q5_K_M,sizes/8x7b-v2-7-q5_k_m.json
8x7b-v2-7-q5_k_s,dolphin-mixtral:8x7b-v2.7-q5_K_S,sizes/8x7b-v2-7-q5_k_s.json
8x7b-v2-7-q6_k,dolphin-mixtral:8x7b-v2.7-q6_K,sizes/8x7b-v2-7-q6_k.json
8x7b-v2-7-q8_0,dolphin-mixtral:8x7b-v2.7-q8_0,sizes/8x7b-v2-7-q8_0.json
latest,dolphin-mixtral:latest,sizes/latest.json
v2-5,dolphin-mixtral:v2.5,sizes/v2-5.json
v2-6,dolphin-mixtral:v2.6,sizes/v2-6.json
v2-7,dolphin-mixtral:v2.7,sizes/v2-7.json
