size_slug,ollama_ref,size_file,fit_status
0-5b,qwen:0.5b,../sizes/0-5b.json,not_listed_in_agents_selection
0-5b-chat,qwen:0.5b-chat,../sizes/0-5b-chat.json,not_listed_in_agents_selection
0-5b-chat-v1-5-fp16,qwen:0.5b-chat-v1.5-fp16,../sizes/0-5b-chat-v1-5-fp16.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q2_k,qwen:0.5b-chat-v1.5-q2_K,../sizes/0-5b-chat-v1-5-q2_k.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q3_k_l,qwen:0.5b-chat-v1.5-q3_K_L,../sizes/0-5b-chat-v1-5-q3_k_l.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q3_k_m,qwen:0.5b-chat-v1.5-q3_K_M,../sizes/0-5b-chat-v1-5-q3_k_m.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q3_k_s,qwen:0.5b-chat-v1.5-q3_K_S,../sizes/0-5b-chat-v1-5-q3_k_s.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q4_0,qwen:0.5b-chat-v1.5-q4_0,../sizes/0-5b-chat-v1-5-q4_0.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q4_1,qwen:0.5b-chat-v1.5-q4_1,../sizes/0-5b-chat-v1-5-q4_1.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q4_k_m,qwen:0.5b-chat-v1.5-q4_K_M,../sizes/0-5b-chat-v1-5-q4_k_m.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q4_k_s,qwen:0.5b-chat-v1.5-q4_K_S,../sizes/0-5b-chat-v1-5-q4_k_s.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q5_0,qwen:0.5b-chat-v1.5-q5_0,../sizes/0-5b-chat-v1-5-q5_0.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q5_1,qwen:0.5b-chat-v1.5-q5_1,../sizes/0-5b-chat-v1-5-q5_1.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q5_k_m,qwen:0.5b-chat-v1.5-q5_K_M,../sizes/0-5b-chat-v1-5-q5_k_m.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q5_k_s,qwen:0.5b-chat-v1.5-q5_K_S,../sizes/0-5b-chat-v1-5-q5_k_s.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q6_k,qwen:0.5b-chat-v1.5-q6_K,../sizes/0-5b-chat-v1-5-q6_k.json,not_listed_in_agents_selection
0-5b-chat-v1-5-q8_0,qwen:0.5b-chat-v1.5-q8_0,../sizes/0-5b-chat-v1-5-q8_0.json,not_listed_in_agents_selection
0-5b-text,qwen:0.5b-text,../sizes/0-5b-text.json,not_listed_in_agents_selection
0-5b-text-v1-5-fp16,qwen:0.5b-text-v1.5-fp16,../sizes/0-5b-text-v1-5-fp16.json,not_listed_in_agents_selection
0-5b-text-v1-5-q2_k,qwen:0.5b-text-v1.5-q2_K,../sizes/0-5b-text-v1-5-q2_k.json,not_listed_in_agents_selection
0-5b-text-v1-5-q3_k_l,qwen:0.5b-text-v1.5-q3_K_L,../sizes/0-5b-text-v1-5-q3_k_l.json,not_listed_in_agents_selection
0-5b-text-v1-5-q3_k_m,qwen:0.5b-text-v1.5-q3_K_M,../sizes/0-5b-text-v1-5-q3_k_m.json,not_listed_in_agents_selection
0-5b-text-v1-5-q3_k_s,qwen:0.5b-text-v1.5-q3_K_S,../sizes/0-5b-text-v1-5-q3_k_s.json,not_listed_in_agents_selection
0-5b-text-v1-5-q4_0,qwen:0.5b-text-v1.5-q4_0,../sizes/0-5b-text-v1-5-q4_0.json,not_listed_in_agents_selection
0-5b-text-v1-5-q4_1,qwen:0.5b-text-v1.5-q4_1,../sizes/0-5b-text-v1-5-q4_1.json,not_listed_in_agents_selection
0-5b-text-v1-5-q4_k_m,qwen:0.5b-text-v1.5-q4_K_M,../sizes/0-5b-text-v1-5-q4_k_m.json,not_listed_in_agents_selection
0-5b-text-v1-5-q4_k_s,qwen:0.5b-text-v1.5-q4_K_S,../sizes/0-5b-text-v1-5-q4_k_s.json,not_listed_in_agents_selection
0-5b-text-v1-5-q5_0,qwen:0.5b-text-v1.5-q5_0,../sizes/0-5b-text-v1-5-q5_0.json,not_listed_in_agents_selection
0-5b-text-v1-5-q5_1,qwen:0.5b-text-v1.5-q5_1,../sizes/0-5b-text-v1-5-q5_1.json,not_listed_in_agents_selection
0-5b-text-v1-5-q5_k_m,qwen:0.5b-text-v1.5-q5_K_M,../sizes/0-5b-text-v1-5-q5_k_m.json,not_listed_in_agents_selection
0-5b-text-v1-5-q5_k_s,qwen:0.5b-text-v1.5-q5_K_S,../sizes/0-5b-text-v1-5-q5_k_s.json,not_listed_in_agents_selection
0-5b-text-v1-5-q6_k,qwen:0.5b-text-v1.5-q6_K,../sizes/0-5b-text-v1-5-q6_k.json,not_listed_in_agents_selection
0-5b-text-v1-5-q8_0,qwen:0.5b-text-v1.5-q8_0,../sizes/0-5b-text-v1-5-q8_0.json,not_listed_in_agents_selection
