size_slug,ollama_ref,size_file
7b,dolphin-mistral:7b,sizes/7b.json
7b-v2,dolphin-mistral:7b-v2,sizes/7b-v2.json
7b-v2-fp16,dolphin-mistral:7b-v2-fp16,sizes/7b-v2-fp16.json
7b-v2-q2_k,dolphin-mistral:7b-v2-q2_K,sizes/7b-v2-q2_k.json
7b-v2-q3_k_l,dolphin-mistral:7b-v2-q3_K_L,sizes/7b-v2-q3_k_l.json
7b-v2-q3_k_m,dolphin-mistral:7b-v2-q3_K_M,sizes/7b-v2-q3_k_m.json
7b-v2-q3_k_s,dolphin-mistral:7b-v2-q3_K_S,sizes/7b-v2-q3_k_s.json
7b-v2-q4_0,dolphin-mistral:7b-v2-q4_0,sizes/7b-v2-q4_0.json
7b-v2-q4_1,dolphin-mistral:7b-v2-q4_1,sizes/7b-v2-q4_1.json
7b-v2-q4_k_m,dolphin-mistral:7b-v2-q4_K_M,sizes/7b-v2-q4_k_m.json
7b-v2-q4_k_s,dolphin-mistral:7b-v2-q4_K_S,sizes/7b-v2-q4_k_s.json
7b-v2-q5_0,dolphin-mistral:7b-v2-q5_0,sizes/7b-v2-q5_0.json
7b-v2-q5_1,dolphin-mistral:7b-v2-q5_1,sizes/7b-v2-q5_1.json
7b-v2-q5_k_m,dolphin-mistral:7b-v2-q5_K_M,sizes/7b-v2-q5_k_m.json
7b-v2-q5_k_s,dolphin-mistral:7b-v2-q5_K_S,sizes/7b-v2-q5_k_s.json
7b-v2-q6_k,dolphin-mistral:7b-v2-q6_K,sizes/7b-v2-q6_k.json
7b-v2-q8_0,dolphin-mistral:7b-v2-q8_0,sizes/7b-v2-q8_0.json
7b-v2-1,dolphin-mistral:7b-v2.1,sizes/7b-v2-1.json
7b-v2-1-fp16,dolphin-mistral:7b-v2.1-fp16,sizes/7b-v2-1-fp16.json
7b-v2-1-q2_k,dolphin-mistral:7b-v2.1-q2_K,sizes/7b-v2-1-q2_k.json
7b-v2-1-q3_k_l,dolphin-mistral:7b-v2.1-q3_K_L,sizes/7b-v2-1-q3_k_l.json
7b-v2-1-q3_k_m,dolphin-mistral:7b-v2.1-q3_K_M,sizes/7b-v2-1-q3_k_m.json
7b-v2-1-q3_k_s,dolphin-mistral:7b-v2.1-q3_K_S,sizes/7b-v2-1-q3_k_s.json
7b-v2-1-q4_0,dolphin-mistral:7b-v2.1-q4_0,sizes/7b-v2-1-q4_0.json
7b-v2-1-q4_1,dolphin-mistral:7b-v2.1-q4_1,sizes/7b-v2-1-q4_1.json
7b-v2-1-q4_k_m,dolphin-mistral:7b-v2.1-q4_K_M,sizes/7b-v2-1-q4_k_m.json
7b-v2-1-q4_k_s,dolphin-mistral:7b-v2.1-q4_K_S,sizes/7b-v2-1-q4_k_s.json
7b-v2-1-q5_0,dolphin-mistral:7b-v2.1-q5_0,sizes/7b-v2-1-q5_0.json
7b-v2-1-q5_1,dolphin-mistral:7b-v2.1-q5_1,sizes/7b-v2-1-q5_1.json
7b-v2-1-q5_k_m,dolphin-mistral:7b-v2.1-q5_K_M,sizes/7b-v2-1-q5_k_m.json
7b-v2-1-q5_k_s,dolphin-mistral:7b-v2.1-q5_K_S,sizes/7b-v2-1-q5_k_s.json
7b-v2-1-q6_k,dolphin-mistral:7b-v2.1-q6_K,sizes/7b-v2-1-q6_k.json
7b-v2-1-q8_0,dolphin-mistral:7b-v2.1-q8_0,sizes/7b-v2-1-q8_0.json
7b-v2-2,dolphin-mistral:7b-v2.2,sizes/7b-v2-2.json
7b-v2-2-fp16,dolphin-mistral:7b-v2.2-fp16,sizes/7b-v2-2-fp16.json
7b-v2-2-q2_k,dolphin-mistral:7b-v2.2-q2_K,sizes/7b-v2-2-q2_k.json
7b-v2-2-q3_k_l,dolphin-mistral:7b-v2.2-q3_K_L,sizes/7b-v2-2-q3_k_l.json
7b-v2-2-q3_k_m,dolphin-mistral:7b-v2.2-q3_K_M,sizes/7b-v2-2-q3_k_m.json
7b-v2-2-q3_k_s,dolphin-mistral:7b-v2.2-q3_K_S,sizes/7b-v2-2-q3_k_s.json
7b-v2-2-q4_0,dolphin-mistral:7b-v2.2-q4_0,sizes/7b-v2-2-q4_0.json
7b-v2-2-q4_1,dolphin-mistral:7b-v2.2-q4_1,sizes/7b-v2-2-q4_1.json
7b-v2-2-q4_k_m,dolphin-mistral:7b-v2.2-q4_K_M,sizes/7b-v2-2-q4_k_m.json
7b-v2-2-q4_k_s,dolphin-mistral:7b-v2.2-q4_K_S,sizes/7b-v2-2-q4_k_s.json
7b-v2-2-q5_0,dolphin-mistral:7b-v2.2-q5_0,sizes/7b-v2-2-q5_0.json
7b-v2-2-q5_1,dolphin-mistral:7b-v2.2-q5_1,sizes/7b-v2-2-q5_1.json
7b-v2-2-q5_k_m,dolphin-mistral:7b-v2.2-q5_K_M,sizes/7b-v2-2-q5_k_m.json
7b-v2-2-q5_k_s,dolphin-mistral:7b-v2.2-q5_K_S,sizes/7b-v2-2-q5_k_s.json
7b-v2-2-q6_k,dolphin-mistral:7b-v2.2-q6_K,sizes/7b-v2-2-q6_k.json
7b-v2-2-q8_0,dolphin-mistral:7b-v2.2-q8_0,sizes/7b-v2-2-q8_0.json
7b-v2-2-1,dolphin-mistral:7b-v2.2.1,sizes/7b-v2-2-1.json
7b-v2-2-1-fp16,dolphin-mistral:7b-v2.2.1-fp16,sizes/7b-v2-2-1-fp16.json
7b-v2-2-1-q2_k,dolphin-mistral:7b-v2.2.1-q2_K,sizes/7b-v2-2-1-q2_k.json
7b-v2-2-1-q3_k_l,dolphin-mistral:7b-v2.2.1-q3_K_L,sizes/7b-v2-2-1-q3_k_l.json
7b-v2-2-1-q3_k_m,dolphin-mistral:7b-v2.2.1-q3_K_M,sizes/7b-v2-2-1-q3_k_m.json
